Controller pinned to core 3.
Scheduler started.
pulled barnes
pulled radix
pulled blackscholes
pulled canneal
pulled freqmine
pulled streamcluster
pulled vips
[MEMCACHED] cores updated to: ['0', '1', '2']
[radix] started on cores: [3] with 1 threads.
[monitor] ['51%', '53%', '50%', '100%']  memcached=154.4%
[monitor] ['52%', '54%', '53%', '100%']  memcached=158.7%
[monitor] ['53%', '53%', '48%', '100%']  memcached=154.2%
[monitor] ['51%', '49%', '51%', '100%']  memcached=151.4%
[monitor] ['53%', '50%', '54%', '100%']  memcached=157.0%
[monitor] ['51%', '50%', '48%', '100%']  memcached=149.8%
[monitor] ['53%', '56%', '54%', '100%']  memcached=162.6%
[monitor] ['48%', '47%', '50%', '100%']  memcached=145.4%
[monitor] ['51%', '50%', '51%', '100%']  memcached=152.9%
[monitor] ['41%', '41%', '43%', '100%']  memcached=125.2%
[MEMCACHED] cores updated to: ['0', '2']
[radix] paused.
[barnes] started on cores: [1, 3] with 2 threads.
[monitor] ['51%', '65%', '53%', '56%']  memcached=104.2%
[monitor] ['53%', '80%', '54%', '39%']  memcached=106.8%
[monitor] ['55%', '100%', '53%', '4%']  memcached=108.0%
[monitor] ['53%', '100%', '55%', '7%']  memcached=108.0%
[monitor] ['54%', '100%', '57%', '61%']  memcached=110.8%
[monitor] ['53%', '100%', '50%', '100%']  memcached=102.8%
[monitor] ['59%', '100%', '56%', '100%']  memcached=114.5%
[monitor] ['53%', '100%', '54%', '100%']  memcached=106.8%
[monitor] ['51%', '100%', '51%', '83%']  memcached=102.9%
[monitor] ['57%', '100%', '57%', '100%']  memcached=113.5%
[monitor] ['57%', '100%', '55%', '100%']  memcached=112.0%
[monitor] ['54%', '100%', '54%', '100%']  memcached=108.1%
[monitor] ['55%', '100%', '55%', '100%']  memcached=110.5%
[monitor] ['54%', '100%', '60%', '100%']  memcached=114.1%
[monitor] ['56%', '100%', '55%', '100%']  memcached=110.8%
[monitor] ['58%', '100%', '57%', '100%']  memcached=114.7%
[monitor] ['54%', '100%', '56%', '100%']  memcached=110.5%
[monitor] ['55%', '100%', '55%', '100%']  memcached=110.5%
[monitor] ['54%', '100%', '56%', '100%']  memcached=109.6%
[monitor] ['57%', '100%', '53%', '100%']  memcached=109.5%
[monitor] ['53%', '100%', '53%', '100%']  memcached=105.6%
[monitor] ['55%', '100%', '56%', '100%']  memcached=110.8%
[monitor] ['54%', '100%', '55%', '100%']  memcached=109.3%
[monitor] ['54%', '100%', '54%', '100%']  memcached=108.1%
[monitor] ['57%', '100%', '57%', '100%']  memcached=113.5%
[monitor] ['55%', '100%', '57%', '100%']  memcached=112.8%
