Controller pinned to core 3.
Scheduler started.
pulled barnes
pulled radix
pulled blackscholes
pulled canneal
pulled freqmine
pulled streamcluster
pulled vips
[MEMCACHED] cores updated to: ['0', '1', '2']
[radix] started on cores: [3] with 1 threads.
[monitor] ['60%', '64%', '57%', '100%']  memcached=181.3%
[monitor] ['59%', '64%', '60%', '100%']  memcached=183.3%
[monitor] ['60%', '59%', '57%', '100%']  memcached=175.6%
[monitor] ['56%', '59%', '59%', '100%']  memcached=173.9%
[monitor] ['56%', '61%', '57%', '100%']  memcached=174.2%
[monitor] ['60%', '60%', '60%', '100%']  memcached=178.6%
[monitor] ['56%', '60%', '60%', '100%']  memcached=175.5%
[monitor] ['57%', '61%', '56%', '100%']  memcached=174.5%
[monitor] ['59%', '60%', '60%', '100%']  memcached=177.6%
[monitor] ['55%', '59%', '55%', '100%']  memcached=168.8%
[monitor] ['57%', '59%', '60%', '100%']  memcached=175.6%
[monitor] ['57%', '59%', '60%', '100%']  memcached=175.6%
[monitor] ['56%', '57%', '56%', '100%']  memcached=169.7%
[monitor] ['56%', '60%', '56%', '100%']  memcached=172.3%
[monitor] ['60%', '60%', '59%', '100%']  memcached=178.1%
[monitor] ['81%', '79%', '81%', '100%']  memcached=240.1%
[monitor] ['75%', '81%', '78%', '100%']  memcached=233.9%
[monitor] ['78%', '78%', '79%', '100%']  memcached=235.7%
[monitor] ['77%', '78%', '81%', '100%']  memcached=235.9%
[monitor] ['80%', '81%', '78%', '100%']  memcached=239.5%
[monitor] ['79%', '81%', '81%', '100%']  memcached=240.1%
[monitor] ['78%', '78%', '81%', '100%']  memcached=236.7%
[monitor] ['79%', '79%', '78%', '100%']  memcached=236.8%
[monitor] ['78%', '81%', '83%', '100%']  memcached=242.3%
[monitor] ['78%', '79%', '78%', '100%']  memcached=235.7%
[monitor] ['79%', '81%', '81%', '100%']  memcached=240.6%
[monitor] ['78%', '81%', '78%', '100%']  memcached=237.3%
[monitor] ['80%', '82%', '83%', '100%']  memcached=244.4%
[monitor] ['79%', '81%', '81%', '100%']  memcached=240.6%
[monitor] ['78%', '81%', '81%', '100%']  memcached=240.0%
[monitor] ['84%', '85%', '83%', '100%']  memcached=251.9%
[monitor] ['73%', '75%', '76%', '100%']  memcached=223.6%
[monitor] ['64%', '63%', '64%', '100%']  memcached=192.0%
[monitor] ['63%', '66%', '62%', '100%']  memcached=191.8%
[monitor] ['64%', '64%', '65%', '100%']  memcached=193.6%
[monitor] ['63%', '64%', '64%', '100%']  memcached=191.4%
[monitor] ['62%', '63%', '61%', '100%']  memcached=186.3%
[monitor] ['62%', '62%', '64%', '100%']  memcached=189.3%
[monitor] ['63%', '61%', '62%', '100%']  memcached=186.3%
[monitor] ['63%', '64%', '63%', '100%']  memcached=190.5%
[monitor] ['61%', '62%', '64%', '100%']  memcached=187.2%
[monitor] ['63%', '62%', '62%', '100%']  memcached=187.8%
[monitor] ['61%', '62%', '63%', '100%']  memcached=185.9%
[monitor] ['62%', '64%', '63%', '100%']  memcached=190.2%
[monitor] ['62%', '63%', '62%', '100%']  memcached=187.8%
[monitor] ['66%', '64%', '67%', '100%']  memcached=196.9%
[monitor] ['62%', '64%', '62%', '100%']  memcached=189.3%
[monitor] ['62%', '63%', '62%', '100%']  memcached=187.2%
[monitor] ['49%', '52%', '51%', '100%']  memcached=152.5%
[monitor] ['47%', '47%', '50%', '100%']  memcached=144.6%
[monitor] ['49%', '52%', '50%', '100%']  memcached=151.1%
[monitor] ['47%', '47%', '50%', '100%']  memcached=144.6%
[monitor] ['45%', '50%', '47%', '100%']  memcached=142.1%
[monitor] ['51%', '47%', '49%', '100%']  memcached=147.3%
[monitor] ['46%', '52%', '49%', '100%']  memcached=147.2%
[monitor] ['47%', '49%', '49%', '100%']  memcached=144.7%
[monitor] ['49%', '50%', '50%', '100%']  memcached=148.7%
[monitor] ['49%', '47%', '51%', '100%']  memcached=147.4%
[monitor] ['47%', '47%', '49%', '100%']  memcached=143.2%
[monitor] ['47%', '50%', '50%', '100%']  memcached=147.4%
[monitor] ['47%', '47%', '49%', '100%']  memcached=143.5%
[monitor] ['46%', '51%', '49%', '100%']  memcached=145.9%
[monitor] ['50%', '50%', '50%', '100%']  memcached=150.0%
[monitor] ['49%', '47%', '50%', '100%']  memcached=146.1%
[monitor] ['50%', '51%', '51%', '100%']  memcached=152.6%
[monitor] ['55%', '60%', '60%', '100%']  memcached=174.0%
[monitor] ['59%', '59%', '61%', '100%']  memcached=178.5%
[monitor] ['56%', '57%', '59%', '100%']  memcached=172.1%
[monitor] ['60%', '62%', '59%', '100%']  memcached=180.0%
[monitor] ['59%', '57%', '56%', '100%']  memcached=172.4%
[monitor] ['57%', '60%', '62%', '100%']  memcached=178.9%
[monitor] ['56%', '59%', '57%', '100%']  memcached=171.8%
[monitor] ['59%', '59%', '60%', '100%']  memcached=176.6%
[monitor] ['57%', '57%', '60%', '100%']  memcached=175.0%
[monitor] ['58%', '59%', '60%', '100%']  memcached=176.2%
