Controller pinned to core 3.
Scheduler started.
pulled barnes
pulled radix
pulled blackscholes
pulled canneal
pulled freqmine
pulled streamcluster
pulled vips
[MEMCACHED] cores updated to: ['0', '1', '2']
[radix] started on cores: [3] with 1 threads.
[monitor] ['0%', '0%', '0%', '100%']  memcached=0.0%
[MEMCACHED] cores updated to: ['0', '2']
[radix] paused.
[barnes] started on cores: [1, 3] with 2 threads.
[monitor] ['3%', '41%', '0%', '62%']  memcached=3.2%
[MEMCACHED] cores updated to: ['0']
[radix] unpaused.
[radix] cores updated to: [2]
[monitor] ['0%', '83%', '100%', '23%']  memcached=0.0%
[monitor] ['3%', '100%', '100%', '0%']  memcached=3.4%
[monitor] ['19%', '100%', '100%', '57%']  memcached=19.4%
[monitor] ['19%', '100%', '100%', '100%']  memcached=19.4%
[monitor] ['19%', '100%', '100%', '100%']  memcached=19.4%
[monitor] ['25%', '100%', '100%', '100%']  memcached=25.0%
[monitor] ['22%', '93%', '100%', '100%']  memcached=21.9%
[monitor] ['22%', '100%', '100%', '100%']  memcached=21.9%
[monitor] ['22%', '100%', '100%', '100%']  memcached=21.9%
[monitor] ['23%', '100%', '100%', '100%']  memcached=23.3%
[monitor] ['17%', '100%', '100%', '100%']  memcached=16.7%
[monitor] ['23%', '100%', '100%', '100%']  memcached=23.3%
[monitor] ['22%', '100%', '100%', '100%']  memcached=21.9%
[monitor] ['26%', '100%', '100%', '100%']  memcached=25.8%
[monitor] ['22%', '100%', '100%', '100%']  memcached=21.9%
[monitor] ['14%', '100%', '100%', '100%']  memcached=14.3%
[monitor] ['17%', '100%', '100%', '100%']  memcached=16.7%
[monitor] ['23%', '100%', '100%', '100%']  memcached=22.6%
[monitor] ['19%', '100%', '100%', '100%']  memcached=19.4%
[monitor] ['19%', '100%', '100%', '100%']  memcached=19.4%
[monitor] ['19%', '100%', '100%', '100%']  memcached=19.4%
[monitor] ['17%', '100%', '100%', '100%']  memcached=16.7%
[monitor] ['22%', '100%', '100%', '100%']  memcached=21.9%
[monitor] ['20%', '100%', '100%', '100%']  memcached=20.0%
[monitor] ['23%', '100%', '100%', '100%']  memcached=22.6%
[monitor] ['19%', '100%', '100%', '100%']  memcached=19.4%
[monitor] ['14%', '100%', '100%', '100%']  memcached=13.8%
[monitor] ['17%', '100%', '100%', '100%']  memcached=16.7%
[monitor] ['29%', '100%', '100%', '100%']  memcached=29.0%
[monitor] ['23%', '100%', '100%', '100%']  memcached=22.6%
[monitor] ['19%', '100%', '100%', '100%']  memcached=19.4%
[monitor] ['17%', '100%', '100%', '100%']  memcached=17.2%
[monitor] ['19%', '100%', '100%', '100%']  memcached=19.4%
[monitor] ['19%', '100%', '100%', '100%']  memcached=19.4%
[monitor] ['19%', '100%', '100%', '100%']  memcached=19.4%
[monitor] ['22%', '100%', '100%', '100%']  memcached=21.9%
[monitor] ['26%', '100%', '100%', '100%']  memcached=25.8%
[monitor] ['19%', '100%', '100%', '100%']  memcached=19.4%
[monitor] ['26%', '100%', '100%', '100%']  memcached=26.5%
[monitor] ['19%', '100%', '100%', '100%']  memcached=19.4%
[monitor] ['24%', '100%', '100%', '100%']  memcached=24.2%
[monitor] ['24%', '100%', '100%', '100%']  memcached=24.2%
[monitor] ['23%', '100%', '100%', '100%']  memcached=22.6%
[monitor] ['26%', '100%', '100%', '100%']  memcached=26.5%
[monitor] ['23%', '100%', '100%', '100%']  memcached=22.6%
[monitor] ['24%', '100%', '100%', '100%']  memcached=24.2%
[monitor] ['19%', '100%', '100%', '100%']  memcached=19.4%
[monitor] ['22%', '100%', '100%', '100%']  memcached=21.9%
[monitor] ['17%', '100%', '100%', '100%']  memcached=16.7%
[monitor] ['22%', '100%', '100%', '100%']  memcached=21.9%
[monitor] ['14%', '100%', '100%', '100%']  memcached=13.8%
[monitor] ['38%', '100%', '100%', '100%']  memcached=38.2%
[monitor] ['83%', '100%', '100%', '100%']  memcached=83.3%
[MEMCACHED] cores updated to: ['0', '2']
[radix] paused.
[monitor] ['61%', '100%', '65%', '100%']  memcached=126.0%
[monitor] ['64%', '100%', '62%', '100%']  memcached=126.1%
[monitor] ['63%', '100%', '63%', '100%']  memcached=125.7%
[monitor] ['60%', '100%', '63%', '100%']  memcached=123.2%
[monitor] ['65%', '100%', '66%', '100%']  memcached=130.7%
[monitor] ['64%', '100%', '65%', '100%']  memcached=128.8%
[monitor] ['62%', '100%', '65%', '100%']  memcached=127.0%
[monitor] ['66%', '100%', '65%', '100%']  memcached=130.6%
[monitor] ['66%', '100%', '68%', '100%']  memcached=133.4%
[monitor] ['65%', '100%', '61%', '100%']  memcached=125.8%
[monitor] ['61%', '100%', '65%', '100%']  memcached=126.0%
[monitor] ['63%', '100%', '65%', '100%']  memcached=127.7%
[monitor] ['63%', '100%', '63%', '100%']  memcached=125.7%
[monitor] ['62%', '100%', '63%', '100%']  memcached=124.6%
[monitor] ['62%', '100%', '60%', '100%']  memcached=122.2%
[monitor] ['64%', '100%', '67%', '100%']  memcached=130.6%
[monitor] ['64%', '100%', '63%', '100%']  memcached=126.7%
[monitor] ['64%', '100%', '66%', '100%']  memcached=129.7%
[monitor] ['65%', '100%', '64%', '100%']  memcached=128.8%
[monitor] ['65%', '100%', '63%', '100%']  memcached=127.6%
[monitor] ['66%', '100%', '64%', '100%']  memcached=129.6%
[monitor] ['61%', '100%', '64%', '100%']  memcached=125.0%
[monitor] ['63%', '100%', '64%', '100%']  memcached=126.7%
[monitor] ['63%', '100%', '64%', '100%']  memcached=126.7%
[monitor] ['63%', '11%', '66%', '100%']  memcached=128.6%
[monitor] ['63%', '14%', '63%', '100%']  memcached=126.0%
[monitor] ['63%', '100%', '64%', '100%']  memcached=126.7%
[monitor] ['64%', '100%', '64%', '100%']  memcached=127.8%
[monitor] ['63%', '100%', '65%', '89%']  memcached=127.7%
[monitor] ['65%', '100%', '64%', '100%']  memcached=128.8%
[monitor] ['62%', '100%', '67%', '100%']  memcached=128.4%
[monitor] ['64%', '100%', '66%', '100%']  memcached=129.7%
[monitor] ['63%', '100%', '63%', '100%']  memcached=125.7%
[monitor] ['63%', '100%', '64%', '100%']  memcached=126.7%
[monitor] ['63%', '100%', '64%', '100%']  memcached=126.7%
[monitor] ['67%', '100%', '64%', '100%']  memcached=130.6%
[monitor] ['63%', '100%', '65%', '100%']  memcached=127.6%
[monitor] ['65%', '100%', '66%', '100%']  memcached=130.7%
[monitor] ['63%', '100%', '65%', '100%']  memcached=127.7%
[monitor] ['66%', '100%', '67%', '100%']  memcached=132.5%
[monitor] ['64%', '100%', '65%', '100%']  memcached=128.8%
[monitor] ['69%', '100%', '69%', '100%']  memcached=138.0%
[monitor] ['62%', '100%', '64%', '100%']  memcached=125.7%
[monitor] ['66%', '100%', '66%', '100%']  memcached=131.4%
[monitor] ['63%', '100%', '63%', '100%']  memcached=125.7%
[monitor] ['64%', '100%', '66%', '100%']  memcached=129.7%
[monitor] ['63%', '100%', '67%', '100%']  memcached=129.5%
[monitor] ['64%', '100%', '62%', '100%']  memcached=125.7%
[monitor] ['76%', '100%', '83%', '100%']  memcached=159.3%
